node,label,x1,x2
0,1,6.617704835193084,1.1552556975888202
56,1,3.7283216859601875,3.2026407395509513
60,1,5.910536382412619,2.4367986387815357
62,0,4.207959542065343,1.8745140361029669
65,0,4.170414712497507,-0.09175271953958175
66,0,5.759754945928084,0.09678107819978965
68,0,4.934847009222139,1.3064324299213388
69,0,4.157944550738517,0.10195471527610467
70,0,8.064479444820174,1.4030233894694355
71,0,4.965067034475962,2.7410870946557706
73,0,3.793506848508902,0.14722014793044713
74,0,7.276559067084518,2.130723314107298
75,0,6.383482972599674,-0.65264043025991
76,0,2.0137654209016684,2.7989218574570254
78,0,4.1554754149655215,-0.046956779275432625
79,0,6.774023435868108,3.2135206866419117
80,0,4.298828869891472,-0.8950882757214056
81,0,1.219984255789765,1.2789372991654115
82,0,4.025264388200008,0.7998589695861078
83,0,5.813560022866146,0.6339242820270863
84,0,7.275813005620577,-1.2447069423542105
85,0,7.748451975656588,-0.08996572982635831
86,0,5.664335136569605,0.19646548510352657
87,0,5.011970482131897,0.790454034271603
88,0,6.886821996817233,2.2067168106313204
89,0,5.241719110756863,1.2128945151565234
90,0,4.5171396752401005,1.9371168418939426
91,0,4.679165953099166,0.558484210753775
92,0,3.314223403098331,0.2069646247917184
93,0,5.439909791065328,-0.4805729621520769
94,0,6.844138898378073,3.875705576900539
95,0,4.935432155328118,-1.2778153160283887
96,0,5.264139164026961,2.097064797157148
97,0,4.031076516967849,0.9516558724450691
99,0,4.0238305258705305,2.949645942527667
100,0,5.949652149999773,2.2980211982068397
103,0,3.398345255514923,0.8412437943325519
104,0,7.431920663963476,2.98422630200524
107,0,5.00684700099638,1.2131240348816916
109,0,7.252061778511668,-2.142458278688531
110,0,7.96955246833773,2.1105789701367854
111,0,6.863813859921386,0.7769097880213651
113,0,5.090402851913069,2.256467889850631
115,0,5.709368378859754,-0.39944713700473233
116,0,5.04962076225697,-0.2939363555212191
117,0,4.045233022743893,1.3699333740714452
119,0,5.375986835239431,1.9395413164757374
1,1,6.682333669886005,0.8154462975549288
17,1,3.3728812445622474,2.1814510343307703
64,0,6.317792516030638,-1.4899350886077065
67,0,4.107797168495732,2.2170235461401426
72,0,3.4707856895252407,1.151066151561738
101,0,3.1858615318922663,2.80307720402791
102,0,4.912671122190756,-2.513308942829503
105,0,6.428551938290003,0.7651769487166522
106,0,8.624864424908306,3.609590162358361
108,0,5.001170400674543,1.3512702294869614
112,0,5.616920923614615,0.5763562001329838
118,0,8.848273182392907,1.3965664964328073
2,1,6.70644989554124,1.2446386085149648
38,1,-2.655409185098679,-0.38809717933012033
45,1,-5.8578148861386765,-0.7321066209498208
61,0,-4.394470335580774,0.24669487681668256
63,0,-7.382879719558558,-1.9191564828471799
98,0,-4.409657804278483,-2.608452615920884
3,1,-8.002716623862476,-1.0244520030366076
25,1,-4.652082292920319,-0.9912730085180277
77,0,-3.9668510802538934,1.725793561987425
114,0,-6.275319992435969,-1.750935862258688
4,1,-3.0500864012748163,2.1576421205742493
11,1,-5.411435682194295,-4.314011089348904
5,1,-6.2993193659710744,3.4323692330391182
30,1,-6.661126141102698,-1.506443463233488
34,1,-4.339401371942575,-0.4328334179406773
54,1,-5.189126697516263,-2.549662071860247
57,1,-7.486274807933526,-1.0638526985997954
58,1,-6.025053702149455,-2.247689967183608
6,1,-8.265574797219315,-1.301626365538516
37,1,-6.573960732214157,-1.9843150659895108
47,1,-4.4535949993830695,-0.1335531221774443
7,1,-4.711572698830767,1.1573199664369804
8,1,-3.8028949275152053,-0.6099911240092719
13,1,-3.632598338771617,-0.3383183302668106
15,1,-5.779070406871602,-1.8243779778241227
53,1,-5.296164893787199,0.6603984630802118
9,1,-5.597919528890441,-2.0745343558979608
24,1,-2.453041190852712,-0.7621053752337221
10,1,-6.385660749616504,-0.7211107399967365
51,1,-0.380591814996909,-1.8822435177706702
55,1,-5.948853903896176,-0.7240769551224784
32,1,-6.324300586422093,-0.3224445123859744
12,1,-5.700981396125344,0.5548821680783065
40,1,-6.785173657642686,-0.9808306462728603
14,1,-0.08113783888881798,-1.9815132981427894
20,1,-4.073692441774756,-0.9823105461469839
18,1,-3.3029182727656994,-1.4496689573164745
16,1,-3.8444867916268963,0.5598946330624273
52,1,-5.821458119366936,0.25203829048051496
59,1,-7.626186548869161,-1.252682367704558
29,1,-7.790323644502813,2.052552976986728
19,1,-4.949096683663832,-1.117230717416591
21,1,-4.605529784344791,-1.1941425853595995
27,1,-5.262508058707238,-2.0175586864951436
48,1,-8.021174781120505,-3.1550867087732444
22,1,-4.679969393807246,-0.5662628881403495
23,1,-5.781671754634642,-1.9550817188620313
33,1,-6.059988331118905,-1.6976174610086163
46,1,-2.423098939706881,-0.7824568110532433
26,1,-3.85073018725386,-0.1921110899181252
44,1,-4.569224624620016,-2.0834909951545204
28,1,-4.917851805036724,-0.3698241575581961
31,1,-3.9036667552126545,0.9588072166833319
41,1,-6.270985564990644,-1.4893644907631571
36,1,-4.409471881028898,-2.568001507717789
35,1,-3.3024668096874183,-2.339443439133972
43,1,-5.304270848195185,-1.8099822616119319
39,1,-3.4702980505866057,-1.8682261128235624
42,1,-6.419323352255712,1.8701820964581892
49,1,-7.63033539390517,-1.339300025733578
50,1,-5.649202978815312,0.6740946416955513
